"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1845","OssDsign","-28,9%","-32%","-20,8","-16,3","-0,01","5,3",,"1129","48,3","-1,6%","29,4%","-15,5%"
"1453","OurLiving","-327,7%","38%","-3,1","-3,7",,"21,7",,"20","60,2","-4,6%","-10,3%","-0,5%"
"1698","Ovzon","-10,5%","23%","-48,5","-37,2","-1,42","2,1",,"3329","69,8","6,5%","18,5%","52,3%"
"1475","OXE Marine","-47,9%","3%","-2,6","-3,9","-0,01","1,1",,"206","50,7","-6,4%","-15,7%","-10,8%"
"738","Pandox","2,1%","46%","35,0","-30,2","-22,52","1,0","2,2","33822","37,7","-2,4%","-1,6%","-13,1%"
"1137","Paradox Interactive","35,7%","-40%","24,6","24,7","-3,84","6,6","3,2","19171","26,5","-3,0%","12,7%","-12,8%"
"1469","Paxman","30,5%","-11%","40,3","92,4","-1,29","8,4","0,1","1514","58,5","6,5%","10,7%","8,1%"
"175","Peab","10,1%","24%","10,6","5,0","4,34","1,4","0,5","23077","44,5","-1,4%","2,9%","-3,6%"
"495","Peptonic Medical","-134,0%","13%","-0,2","-0,3","-0,00","0,1",,"17","42,3","-20,3%","-32,8%","-57,1%"
"773","Perpetua Medical","-41,1%","-29%","-7,0","-7,6","1,19","2,1",,"23","37,9","0,5%","29,5%","-23,1%"
"919","PExA","-385,8%","-55%","-0,6","-0,6","-0,01","1,4",,"11","50,8","-4,4%","-32,8%","-16,2%"
"553","PharmaLundensis","-102,7%","44%","-15,6","-28,5","-0,03","14,1",,"49","54,9","-1,7%","46,4%","-1,1%"
"462","Phase Holographic","-62,3%","-39%","-0,9","-0,8","-0,31","0,7",,"90","58,5","8,0%","-68,2%","24,9%"
"914","Photocat","-17,7%","8%","-14,4","-56,1","-0,35","3,1",,"50","41,7","-5,0%","-8,6%","-16,5%"
"2201","Physitrack","-26,4%","13%","-3,2","-57,0","-0,22","0,9",,"191","51,1","-0,8%","-3,2%","-14,5%"
"2109","Pierce Group","8,6%","-22%","29,6","5,5","-0,10","1,2","0,2","778","52,6","-1,9%","5,7%","-3,0%"
"2240","Pila Pharma","-1404,5%","-70%","-10,6","-13,9",,"11,0",,"84","39,0","-7,5%","-19,6%","-16,5%"
"177","PION Group","-48,2%","2%","-3,9","187,2","-0,05","2,0",,"270","51,0","-1,7%","-6,4%","-1,4%"
"2299","PixelFox","6,0%","-4%","46,7","93,3","-0,01","3,8","0,5","32","63,3","3,4%","39,8%","5,7%"
"366","Platzer Fastigheter","2,0%","48%","34,4","-17,5","-19,52","0,7","0,9","9097","48,6","-0,5%","-11,3%","-9,8%"
"1078","Plejd","20,1%","-6%","39,0","111,1","-8,89","9,6","0,4","5288","52,3","-0,6%","26,0%","2,3%"
"1757","PolarCool","-216,7%","-49%","-1,6","-1,2","-0,33","1,9",,"32","56,7","1,4%","-47,6%","26,1%"
"1014","Polygiene","1,9%","-19%","20,8","12,0","-0,04","1,1","0,7","340","31,5","-6,3%","5,2%","-23,1%"
"2125","Polymer Factory","-235,6%","-29%","-1,4","-2,0",,"2,2",,"9","43,5","-6,4%","-11,4%","-1,4%"
"392","Polyplank","-147,7%","53%","-2,1","-3,7","-0,00","-1,8",,"10","48,5","13,5%","-37,0%","-10,0%"
"434","PowerCell","-24,4%","-32%","-25,3","-20,9","-0,82","3,8",,"1572","46,6","1,9%","-5,5%","-15,7%"
